category,standardized_repair_type,frequency,example_items,est_hours,material_cost,sub_cost,notes
Exterior,Replace damaged weatherstripping on exterior doors,4,Replace damaged weatherstripping on exterior door; Replace damaged weatherstripping on garage door,,,,
Exterior,Pressure wash and treat deck,3,Pressure wash deck and apply wood preservative,,,,
Exterior,Evaluate and repair retaining wall or erosion,9,Evaluate and repair leaning/shifted retaining wall; Evaluate and address erosion on property; Repair erosion around patio to prevent further settlement,,,,
Exterior,Repair or install deck stair riser boards,4,Install riser boards on deck stairs to prevent tripping,,,,
Exterior,Install missing deck joist hangers or ledger strips,2,Install missing joist hangers or ledger strips to support deck joist ends,,,,
Exterior,Repair/replace exterior stairs or walkway settlement,6,Repair or replace deteriorated exterior stairs; Evaluate and repair settled front walkway; Repair uneven walkway to eliminate tripping hazard,,,,
Exterior,Clean mildew or debris from exterior siding,3,Clean mildew growth from siding,,,,
Plumbing,Secure loose toilet to floor / replace wax ring,57,Secure loose toilet to floor flange to prevent leaks; Re-secure loose toilet on flange and inspect seal for leaks; Secure loose toilet at floor anchor bolts and evaluate wax ring to prevent leaking,,,,
Plumbing,Install expansion tank on water heater,40,Install expansion tank on water heater; Install expansion tank on cold water inlet of water heater; Evaluate and install expansion tank at water heater,,,,
Plumbing,Adjust water heater temperature to safe level (120°F),24,Adjust water heater temperature to 120 degrees to prevent scalding; Adjust water heater thermostat to safe temperature (108-120 degrees); Adjust water heater temperature to 120-130 degrees,,,,
Plumbing,Repair/replace leaking exterior hose bib or faucet,24,Repair leaking exterior faucet handles; Repair or replace leaking exterior hose bib; Repair or replace dripping exterior faucet,,,,
Plumbing,Repair or replace sink stopper / pop-up assembly,36,Repair inoperable sink stopper; Replace missing pop-up assembly on sink; Adjust sink stopper for proper function,,,,
Plumbing,Secure/repair loose hose bib to exterior wall,19,Secure hose bib to exterior wall; Secure unsecured hose bibs; Properly secure loose exterior hose bibs to side of home,,,,
Plumbing,"Seal gap at bathtub/shower surround, floor, or wall",32,Seal gap between downspout and bathtub surround; Seal gap between bathtub/shower and floor to prevent water penetration; Seal gap between bathtub and wall surround,,,,
Plumbing,Repair or replace leaking showerhead / secure showerhead arm,27,Repair or replace leaking showerhead; Secure loose showerhead arm at wall connection; Replace/install Teflon tape on showerhead arm threads to eliminate leak,,,,
Plumbing,Install or adjust pressure regulating valve (PRV),19,"Adjust water pressure regulator to bring pressure within 40-80 psi range; Install or adjust pressure regulating valve to reduce water pressure below 80 PSI; Install, adjust, or replace pressure regulating valve to reduce excessive water pressure",,,,
Plumbing,Replace accordion/S-trap drain pipe with PVC drain pipe,16,Replace accordion style drain pipe under sink with standard PVC drain pipe; Replace S-trap with vented P-trap under sink; Replace flexible accordion drain piping with proper drain line under sink,,,,
Plumbing,"Clear slow-draining sink, tub, or drain",16,Evaluate and repair slow-draining sink; Clear slow draining bathroom sink(s); Clear slow-draining bathtub,,,,
Plumbing,Repair shower diverter,9,Repair or replace shower diverter that does not fully divert water to shower; Repair shower diverter that does not fully divert water to shower head; Repair shower diverter that does not fully divert water to shower,,,,
Plumbing,Repair active leak at drain line or plumbing fixture,17,Repair active leak at drain line; Repair active leak under master bathroom sink; Repair active water leak at bathtub water fixture,,,,
Plumbing,Install dishwasher drain high loop or air gap,10,Install high loop or air gap at dishwasher drain line; Install proper dishwasher drain high loop or air gap; Install or correct dishwasher drain high loop,,,,
Plumbing,Secure loose sink faucet at base,11,Tighten loose kitchen sink faucet at base; Secure loose kitchen sink faucet; Secure loose sink faucet,,,,
Plumbing,Repair or replace kitchen faucet / sprayer,10,Repair kitchen sink sprayer; Replace leaking kitchen sprayer handle; Repair or replace kitchen faucet diverter for proper sprayer function,,,,
Plumbing,Bond/ground CSST gas piping,6,Bond CSST gas piping at solid gas piping before first CSST connection or at gas meter; Bond CSST gas piping at solid gas piping before first CSST connection or at gas meter with bonding/grounding rod; Install grounding/bonding strap at gas meter,,,,
Plumbing,Scrape and paint rusted gas lines to prevent corrosion,9,Scrape and paint rusted exterior gas lines to prevent further corrosion; Scrape and paint rusted gas lines at natural gas meter to prevent further corrosion,,,,
Plumbing,Install missing sediment trap on gas supply line,3,Install missing sediment trap on gas fuel supply line,,,,
Plumbing,Install TPR valve discharge pipe on water heater,4,Install missing TPR valve discharge pipe on water heater; Install 3/4 inch CPVC or copper discharge pipe at water heater pressure relief valve routed to exterior,,,,
Plumbing,Water heater maintenance / ancillary repairs,12,Install missing service shutoff at water heater; Install drip pan under water heater; Properly support and secure expansion tank at water heater,,,,
Plumbing,Sewer scope inspection,9,"Conduct sewer scope inspection; Sewer scope inspection recommended; Perform sewer scope inspection of drain, waste, and vent pipes",,,,
Plumbing,Seal gaps around supply/drain line wall penetrations and countertops,15,Seal gaps between wall coverings/cabinets and water supply/drain lines; Seal gap between countertop and sidesplash/backsplash to prevent water penetration; Seal gaps around kitchen sink and countertop,,,,
Plumbing,Repair reversed hot/cold water connections,4,Repair reversed hot and cold water connections at sink; Correct reversed hot and cold water supplies; Repair and secure faucet installed backwards and loose,,,,
Plumbing,Replace washing machine supply hoses with stainless braided hoses,4,Replace rubber washing machine supply hoses with stainless braided hoses,,,,
Plumbing,Locate/identify main water shut-off valve or meter,7,Locate and identify main water shut-off valve; Locate and identify water meter,,,,
Plumbing,Insulate exposed water lines to prevent freezing,2,Insulate exposed water line to prevent freezing,,,,
Plumbing,Evaluate/repair rusted or deteriorating drain lines,2,Evaluate and repair rusted cast iron drain lines,,,,
Plumbing,"Repair toilet functional issues (flush, leak at base)",4,Repair toilet that does not flush; Repair toilet leaking at base,,,,
Plumbing,Replace missing laundry/washer box face trim,3,Replace missing face trim on laundry room washer box,,,,
Electrical,Install/replace blank cover plates on junction boxes and panels,45,Install blank cover plates on open electrical junction boxes; Install missing covers on electrical junction boxes; Replace missing cover screws on main electrical panel,,,,
Electrical,Install/replace cover plates on receptacles and switches,44,Replace missing receptacle cover plates; Install missing cover plates on receptacles; Replace missing light switch cover plates,,,,
Electrical,Install or replace GFCI receptacles/protection,57,Install GFCI receptacles in kitchen where not present; Install GFCI protection at all locations near water sources; Install GFCI receptacles in bathrooms where not present,,,,
Electrical,Repair or replace non-functioning GFCI receptacle,23,Replace non-functioning GFCI receptacle; Repair or replace non-resetting GFCI receptacle; Repair or replace GFCI outlets that do not trip when tested,,,,
Electrical,Install smoke detectors at all required locations,52,Install additional smoke detectors in all bedrooms and adjoining hallways; Install smoke alarms at all required locations; Replace missing smoke detectors,,,,
Electrical,Replace smoke detectors older than 10 years,14,Replace smoke detectors that are over 10 years old; Replace smoke detectors older than 10 years; Replace smoke detectors that are 10 or more years old,,,,
Electrical,Install carbon monoxide detectors at required locations,61,Install permanent carbon monoxide detectors on each floor and near each bedroom; Install carbon monoxide detector; Install CO detectors at all recommended locations,,,,
Electrical,Secure loose electrical receptacles/outlets to wall boxes,30,Secure loose electrical receptacles to wall boxes; Secure unsecured electrical outlets; Secure loose electrical outlet(s),,,,
Electrical,Repair or replace inoperable light fixture or bulb,46,Repair or replace inoperable light fixture; Replace burned out interior light bulbs and retest fixtures; Evaluate and repair non-functional light fixture,,,,
Electrical,Secure or seal exterior light fixtures,22,Seal gaps around exterior light fixtures to prevent water penetration and pest entry; Secure loose exterior light fixtures; Repair or replace non-functioning exterior light fixture,,,,
Electrical,"Install missing light globes, cages, or covers on fixtures",12,Install missing light globe in closet(s); Install missing globe on lighting fixture; Install missing protective cages on exposed light fixtures,,,,
Electrical,Place exposed Romex/wiring under sink or interior in conduit,27,Place exposed Romex wiring under kitchen sink in conduit; Install protective covering over exposed Romex wiring at garbage disposal; Place exposed wiring under kitchen sink into conduit to prevent damage,,,,
Electrical,Install conduit over exposed exterior wiring,13,Install conduit to protect exposed exterior wiring from physical damage; Place exposed exterior electrical wiring in conduit to protect from damage; Install protective conduit on 240 volt electrical wire to HVAC disconnect,,,,
Electrical,Correct open or improper wire splices and enclose in covered junction boxes,15,Correct open/improper electrical wire splices and place in covered junction boxes; Place open line splices into junction boxes with cover plates; Correct open/improper wire splices and place in junction boxes with cover plates,,,,
Electrical,Install weatherproof/GFCI cover plates on exterior receptacles and switches,12,Install weatherproof cover plate on exterior receptacle; Replace missing or damaged cover on exterior outlet; Install weatherproof cover plate on exterior light switch,,,,
Electrical,Ground ungrounded receptacles or install GFCI protection as alternative,18,Properly ground three-prong receptacles or install GFCI protection on ungrounded receptacles; Ground ungrounded receptacles; Properly ground all ungrounded receptacles throughout home,,,,
Electrical,Correct reverse polarity wiring at receptacles,3,Correct reverse polarity wiring at receptacles,,,,
Electrical,"Repair electrical panel deficiencies (double-taps, loose wires, knockouts, bushings)",30,Properly terminate loose wires inside electrical panel with wire nuts; Repair double-tapped breakers in electrical panel; Install bushings where wires enter the main electrical panel to prevent wire damage,,,,
Electrical,Separate ground and neutral wires onto separate bus bars in sub-panel,5,Separate ground and neutral wires onto separate bus bars in sub panel; Separate double-tapped ground and neutral wires on bus bar in main panel; Repair double-tapped neutral wires in main electrical panel,,,,
Electrical,Properly identify/mark hot white wires in electrical panel,6,Properly identify white wires used as hot wires in electrical panel,,,,
Electrical,Remove extension cord used as permanent wiring and install proper wiring,6,Remove extension cord used as permanent wiring and install proper electrical wiring,,,,
Electrical,Install electrical disconnect at water heater,6,Install electrical disconnect at water heater,,,,
Electrical,Secure loose electrical wiring in crawlspace/basement to joists,5,Secure electrical wiring off ground and attach to floor joists; Secure loose electrical wires throughout crawlspace,,,,
Electrical,Evaluate and address older braided cloth NM wiring,3,Evaluate and address braided cloth NM wiring,,,,
Electrical,Drive/install grounding rods at electrical meter and service entrance,10,Drive ground rod(s) flush with the ground at electrical meter; Install grounding rods at electrical meter; Bury ground wire at service entrance to protect from damage,,,,
Electrical,Repair or replace inoperable ceiling fan or doorbell,13,Repair or replace inoperable ceiling fan; Balance and properly secure wobbly ceiling fan; Repair non-operational doorbell,,,,
Electrical,Replace damaged or broken receptacle/outlet,5,Replace damaged outlet; Replace outlet with broken plastic safety prongs lodged in receptacle; Repair loose wall outlet,,,,
Windows/Doors,Replace/install missing or damaged window screens,48,Replace missing window screens; Repair or replace torn/damaged window screens; Install missing exterior window screens,,,,
Windows/Doors,Repair/replace failed insulated glass seal (foggy/condensation between panes),19,Replace windows with failed seals showing condensation between panes; Repair or replace failed seal on double-pane window glass; Replace failed hermetic seal between double panes causing fogging,,,,
Windows/Doors,Repair/replace cracked or broken window glass,9,Repair or replace cracked window pane; Replace broken window pane; Repair or replace cracked storm window glass,,,,
Windows/Doors,Repair/replace window balances or counterbalance mechanism,10,Repair or replace window balances to prevent windows from falling; Repair broken window balances so windows stay open; Repair damaged window counterbalance mechanism,,,,
Windows/Doors,Free/repair inoperable or stuck windows (egress concern),11,Free stuck windows to allow emergency egress; Repair inoperable windows that are stuck or painted shut for emergency egress; Repair or adjust inoperable windows that cannot be opened or closed,,,,
Windows/Doors,"Repair/replace window latches, tilt latches, or crank hardware",11,Repair or replace broken and missing window tilt latches; Replace missing window crank handles and confirm proper operation; Repair or replace window latch that does not latch properly,,,,
Windows/Doors,"Seal gaps around window frames (air, water, insect infiltration)",11,"Seal gaps around interior window frames to prevent air, water, and insect entry; Seal gaps around interior window frames; Seal full-size bathroom window in shower area to prevent water penetration",,,,
Windows/Doors,Replace/repair weatherstripping on exterior or entry doors,26,Replace damaged weatherstripping on side entry door; Replace damaged weatherstripping at rear entry door; Install missing weatherstripping on exterior door,,,,
Windows/Doors,Replace/repair door sweep,3,Replace damaged door sweep on rear entry door; Seal gaps around entry door when closed; Repair exterior door that does not fully seal when closed,,,,
Windows/Doors,Adjust or trim sticking/binding door for proper operation,28,Adjust or trim front entry door to allow proper operation; Adjust or trim sticking door to allow proper closure; Adjust interior doors that are rubbing against door frames,,,,
Windows/Doors,"Repair/adjust door latch, strike plate, or catch plate",24,Repair door latch and/or strike plate so door latches properly; Adjust catch plate so door closes properly; Install missing strike plate on closet door,,,,
Windows/Doors,Repair/adjust deadbolt for proper locking,5,Adjust deadbolt and catch plate to allow proper locking; Adjust deadbolt and catch plate to allow proper closure; Install deadbolt on exterior front door,,,,
Windows/Doors,Secure or replace loose/missing door knobs and locksets,9,Secure loose door knob; Replace missing or damaged door hardware; Repair or replace non-functioning door lockset,,,,
Windows/Doors,Install or repair door stops,4,Install missing door stops on interior doors,,,,
Windows/Doors,Install missing or replace damaged closet doors,5,Install missing closet doors; Install missing closet door; Realign misaligned bi-fold door,,,,
Windows/Doors,Repair/replace damaged interior door,6,Repair or replace damaged interior door; Repair patched/damaged door; Repair minor damage to door,,,,
Windows/Doors,Repair/replace wood rot on exterior door casings or trim,10,Repair or replace wood rot at rear entry door casement/trim; Repair wood rot at exterior door casements; Repair or replace damaged door casement,,,,
Windows/Doors,"Repair/replace damaged garage door panels, trim, or opener",7,Repair or replace damaged garage door panels; Repair damaged overhead garage door; Reconnect and test garage door opener,,,,
Windows/Doors,Repair garage door auto-reverse safety function,1,Repair garage door auto-reverse safety function,,,,
Windows/Doors,Repair/replace storm door closer or screen door,5,Install missing door closer on right side storm door; Repair or replace bent closer on storm door; Replace torn/loose screens at entry screened storm door,,,,
Windows/Doors,Repair/replace damaged door frame or jamb,4,Repair gap at door jamb; Repair or replace cracked door frame; Properly frame interior door that is not plumb,,,,
Windows/Doors,Caulk/seal around exterior door frames to prevent moisture intrusion,5,"Refresh caulking around rear entry door to seal gaps and prevent moisture penetration; Seal, repair, or replace damaged door trim to prevent moisture intrusion; Paint or seal exterior doors and windows to prevent moisture intrusion",,,,
Windows/Doors,Install fire-rated door between garage and living space,1,Proper fire-rated separation door not present between garage and living space - install 20-minute fire rated or solid wood/steel door,,,,
Windows/Doors,Repair/replace door threshold or toeboard,2,"Install missing toeboard under entry door threshold; Repair side door strike on jamb, install weather stripping, repair deteriorated door frame bottom, and install proper exterior door threshold",,,,
Windows/Doors,"Refinish, paint, or replace missing hardware on exterior doors",5,Refinish and/or paint front entry door; Replace missing/damaged/loose kick plate at exterior door; Install missing hinge screws at front entry door,,,,
Interior,"Repair cracks in walls and ceilings (settling, minor, moderate)",34,Repair settling cracks in walls and ceilings; Repair minor/moderate cracks in walls and ceilings; Patch settling cracks on walls over doors,,,,
Interior,"Patch/repair drywall seam tape, nail pops, and holes",27,"Patch loose seam tape on ceiling; Secure loose nails and patch nail pops in ceilings; Patch or replace cracked, loose, and missing seam tape on walls and ceilings",,,,
Interior,"Repair or replace damaged flooring (hardwood, laminate, vinyl, general)",25,Repair or replace damaged flooring; Repair gaps between flooring planks; Evaluate and repair scratched flooring,,,,
Interior,Replace or repair cracked/damaged floor tiles,17,Replace cracked/damaged floor tiles; Repair or replace cracked floor tiles; Replace broken floor tiles,,,,
Interior,Repair or replace damaged/stained carpet,13,"Repair or replace damaged carpet; Clean or replace stained carpet; Properly install carpet - seal gaps, re-stretch loose carpet, replace missing carpet",,,,
Interior,"Paint and finish walls and ceilings (touch-up, water stains, patches)",22,"Touch up paint on trim, walls, and ceilings throughout home; Paint moisture-stained ceiling with proper preparation and monitor for future issues; Finish wall and ceiling patches with proper preparation and paint",,,,
Interior,"Repair or replace water-damaged walls, ceilings, and flooring",12,Repair or replace water-damaged walls and ceilings from previous leak; Evaluate and repair ceiling water stains from previous leak; Repair moisture-damaged wall coverings and framing,,,,
Interior,"Seal/caulk countertop gaps, backsplash, and bathroom fixtures",18,Seal gap between kitchen countertop and backsplash/sidesplash; Refresh caulking at fixtures to prevent water intrusion; Apply caulking around countertops where gapped or missing,,,,
Interior,Repair/seal tile grout and caulk in shower/tub surround,7,"Seal gaps and cracks in grout in shower/bathtub surround; Repair tile grout deficiencies (loose, damaged, or missing grout); Repair or replace cracked/chipped countertop",,,,
Interior,Repair or replace damaged cabinets and cabinet components,17,Repair damaged cabinets; Repair or replace water-damaged cabinet base under kitchen sink; Repair or replace damaged/missing cabinet drawer stops,,,,
Interior,"Adjust, secure, or replace cabinet doors, hinges, and hardware",14,Secure loose cabinet door hinges; Adjust hardware on misaligned kitchen cabinet drawers and doors; Install cabinet pulls and knobs,,,,
Interior,Install or secure handrail at interior stairway,14,Install missing handrail at interior stairway; Properly terminate handrails into wall or newel post; Secure loose handrail at stairs,,,,
Interior,"Repair or replace interior trim, molding, and baseboards",9,Replace missing trim; Seal gaps in crown molding; Repair or replace damaged and missing interior trim in multiple areas,,,,
Interior,Repair or replace damaged/missing countertop,5,Repair or replace damaged countertop; Repair or replace cracked/chipped countertop; Clean and recaulk damaged/deteriorated caulk at backsplash and counter,,,,
Interior,Repair or replace attic pull-down stairs,7,Repair or replace damaged attic pull-down stairs that do not close properly; Replace and secure loose/missing hardware at attic pull down stairs; Repair or replace damaged/missing step at attic pull down stairs,,,,
Interior,"Evaluate and repair unlevel, sagging, or soft subfloor/floor framing",7,Evaluate and level unlevel floors; Repair soft area in floor (possible subfloor damage); Evaluate and repair floor framing to address unlevel and sagging floors,,,,
Interior,Secure subfloor to eliminate squeaking floors,2,Secure subfloor to framing to eliminate squeaking floors; Repair spongy floor at tub area,,,,
Interior,"Secure loose railings, fixtures, and bars to wall",6,Secure loose interior balcony railings; Secure unsecured bar/fixture to wall; Secure towel bar/fixture to wall,,,,
Interior,Install or replace doorstop and repair wall damage from doorknob,3,Repair hole in wall caused by doorknob and install doorstop; Install missing door stops at interior doors to prevent wall damage,,,,
Interior,Repair or replace closet shelving,2,Replace missing or damaged closet shelving; Repair or replace missing/damaged closet shelving,,,,
Interior,Evaluate and remediate mold/fungal growth on interior surfaces,4,Evaluate and remediate suspect fungal growth on walls; Evaluate and remediate fungal growth on walls; Remediate possible microbial growth at kitchen air supply vent,,,,
Interior,Repair fireplace/flue components and clean firebox,5,Clean creosote build-up from firebox and flue; Repair or replace non-functioning flue damper door; Repair or replace cracked fireplace hearth,,,,
Interior,Secure loose transition strip,2,Secure loose transition strip to prevent tripping hazard,,,,
Interior,Refinish or cosmetically repair worn flooring surfaces,3,Refinish floors showing moderate surface wear along major travel paths; Repair damaged hardwood flooring; Repair cosmetic wear on walls and ceilings,,,,
HVAC,Replace dirty air filter(s),32,Replace dirty return air filters; Replace dirty HVAC air filter; Replace dirty/clogged furnace air filters,,,,
HVAC,Repair/replace refrigerant lineset insulation,42,Repair or replace missing/damaged lineset insulation at AC suction line; Extend and seal lineset insulation to contact evaporator core/air handler; Repair or replace missing or damaged insulation on refrigerant line,,,,
HVAC,Clean and service HVAC unit,18,"Clean and service HVAC system; Clean, service, and certify exterior HVAC split system unit due to age; Service A/C unit to bring temperature differentials within normal range",,,,
HVAC,Evaluate and service aging/end-of-life HVAC unit,14,"Have qualified HVAC contractor evaluate aging cooling unit; Have HVAC unit professionally evaluated and serviced; unit is 25+ years old and near end of service life; Exterior AC unit beyond average life expectancy - clean, service, and certify",,,,
HVAC,Evaluate and repair non-functioning or underperforming HVAC system,8,Evaluate and repair HVAC system for unsatisfactory cooling temperature differential; Evaluate and repair furnace not functioning properly; Evaluate and repair heat pump for substandard supply air temperature,,,,
HVAC,"Repair/replace condensate drain line (routing, sealing, reconnecting)",20,Extend condensation drain line away from foundation; Reconnect disconnected condensate drain line from furnace; Repair leaking condensation drain lines at furnace,,,,
HVAC,"Install/repair condensate drain components (trap, cleanout, float switch, secondary line)",15,Install trap in condensate drain pipe; Install float switch on attic heating unit; Replace missing caps on condensation drain line cleanout,,,,
HVAC,Evaluate and repair water/rust in auxiliary drain pan; replace rusted drain pan,12,Evaluate furnace and replace heavily rusted drain pan to prevent potential leaks; Service heating unit with rust in overflow drain pan; Replace rusted auxiliary drain pan,,,,
HVAC,Repair/replace or clean ductwork,15,Evaluate and repair air leaks in ductwork; Repair damaged or disconnected ductwork; Clean dirty ductwork interior,,,,
HVAC,Repair/replace ductwork insulation,8,Repair or replace torn and damaged ductwork insulation; Insulate partially uninsulated ductwork; Correct rough or improper patching of duct insulation,,,,
HVAC,Clean AC condensing unit coils and clear vegetation/debris,8,Clean dirty AC condensing unit coils; Clear vegetation and debris restricting airflow to AC condenser; Cut back vegetation too close to HVAC unit to prevent overheating,,,,
HVAC,Level AC condensing unit pad,7,Level AC condensing unit pad; Level the pad under the AC condensing unit; Level outdoor AC unit to ensure proper performance,,,,
HVAC,Repair/improve flue vent clearance from combustibles,6,Correct improper clearance between water heater flue and wood/combustibles; Evaluate and improve flue clearance from wood and combustible materials; Repair improper slope and rusted flue vent,,,,
HVAC,Repair/seal flue vent connections and pipes,5,Repair taped flue vent connections at water heater (tape not approved for flue connections); Evaluate and repair leaking flue pipe at furnace to ensure proper sealing; Evaluate and re-route or properly cap furnace vent pipe through chimney flue,,,,
HVAC,Insulate condensate drain pipe,4,Insulate condensate drain pipe; Insulate drain line from heating unit to prevent sweating; Repair or replace damaged and missing insulation on condensation drain line,,,,
HVAC,Install rain cap where AC lineset enters home,5,Install rain cap where AC lines enter home; Replace damaged or missing rain cap where AC feed lines enter the home; Seal opening where AC lineset enters home with approved exterior sealant,,,,
HVAC,Reroute bathroom exhaust fan to exterior,5,Reroute bathroom exhaust fans to vent to exterior instead of attic; Re-route bathroom exhaust fan duct to vent to exterior rather than into attic space; Reconnect disconnected dryer vent to exterior,,,,
HVAC,"Repair/replace HVAC electrical components (whip, disconnect, wiring, cabinet)",8,Secure electrical whip to side of home at outdoor AC unit; Repair loose safety disconnect on heat pump; Install missing bushing/grommet where electrical wiring enters furnace/air handler cabinet,,,,
HVAC,Install sediment trap at furnace gas line,2,Install sediment trap at furnace gas line; Scrape rust and paint rusted gas lines at package HVAC unit,,,,
HVAC,Clean/inspect chimney flue and fireplace,4,Clean and inspect chimney/vent flue; Clean creosote buildup from fireplace flue; Evaluate and repair brick pulling away from wall behind fireplace mantle,,,,
HVAC,Repair/replace or clean supply and return vent covers/registers,6,Clean dirty vent covers to allow proper air flow; Replace or treat rusted HVAC supply vent covers; Replace damaged floor register,,,,
HVAC,"Evaluate and service furnace (rust, gas odor, age)",5,Evaluate and service furnace due to rust on interior and age of unit; Evaluate and service attic furnace due to gas odor to prevent gas and carbon monoxide leaking into home; Evaluate and service HVAC system due to rust stains in emergency overflow drain pan,,,,
HVAC,Repair or install missing ductwork and duct connections,5,Install missing HVAC duct in interior room; Elevate crawlspace ductwork off ground using straps; Repair or replace rusted ductwork in crawlspace,,,,
HVAC,Reconnect and service whole house fan,2,Reconnect and test disconnected whole house fan; Replace noisy exhaust fan to ensure proper ventilation,,,,
HVAC,Secure or replace thermostat,3,Secure loose thermostat to wall; Secure and properly install thermostat wiring in conduit along exterior of home; Remove double filtration by eliminating wall/ceiling return filters and using only the whole house filter,,,,
Foundation/Structural,Remove debris from crawlspace,12,Remove debris from crawlspace ground; Remove wood and debris from crawlspace ground; Remove old furnace and construction debris from crawlspace,,,,
Foundation/Structural,Seal/patch cracks in concrete slab (garage or exterior),23,Seal cracks in garage slab; Seal hairline cracks in garage concrete slab to prevent water penetration; Patch cracks in exterior slab and garage foundation to prevent moisture intrusion,,,,
Foundation/Structural,Remediate fungal/mold growth on crawlspace framing or subfloor,24,Remediate surface fungi on crawlspace framing members; Evaluate and remediate fungal growth on floor structure in crawlspace; Mold testing and remediation of fungal growth on floor structure,,,,
Foundation/Structural,Address elevated wood moisture levels in crawlspace framing,12,Address elevated wood moisture levels (20%-28%) in crawlspace framing; Make necessary repairs to lower elevated moisture levels above 20% in crawlspace; Remediate high moisture levels in crawlspace to reduce wood moisture content below 20%,,,,
Foundation/Structural,Evaluate and repair moisture infiltration source in crawlspace,17,Evaluate and repair source of moisture infiltration in crawlspace; Evaluate and repair source of past/present moisture infiltration below grade; Evaluate and correct water penetration in crawlspace indicated by dried mud at various areas,,,,
Foundation/Structural,Install or repair crawlspace vapor barrier,6,Extend vapor barrier to achieve full coverage of crawlspace soil; Replace mud-covered vapor barrier sections; Install plastic vapor barrier on crawlspace ground to control moisture levels,,,,
Foundation/Structural,Address standing water in crawlspace,5,"Evaluate and remediate standing water in crawlspace, consider French drain and sump pump; Remove standing water and address moisture source in crawlspace; Identify source of and remediate standing water in crawlspace",,,,
Foundation/Structural,Repair or replace crawlspace access door and frame,10,Seal gaps around crawlspace access door; Replace damaged and loose crawlspace access door; Replace self-latching crawlspace entry door closure with bolt-style latch to prevent accidental entrapment,,,,
Foundation/Structural,"Repair/seal crawlspace ventilation openings (screens, grade issues, gaps)",12,"Repair ventilation openings at or below grade to prevent water infiltration; Repair or replace torn, missing, or damaged crawlspace ventilation screens; Install screens and dampers on open crawlspace vent spaces to prevent pest entry",,,,
Foundation/Structural,Install vent wells around below-grade crawlspace vents,3,Install vent wells around crawlspace vents in contact with ground; Repair crawlspace ventilation openings at or below grade to prevent water infiltration; Improve crawl space ventilation to meet current standards (1 sq ft per 150 sq ft),,,,
Foundation/Structural,"Seal gaps in foundation wall (pipes, wires, penetrations, general)",8,Seal gaps around pipe and wire penetrations at foundation wall; Seal gaps in foundation wall to prevent moisture and pest penetration; Remove spray foam and properly seal openings in foundation wall with exterior rated material,,,,
