source_file,category,item,location,severity
102_eagle_pass_dr___residential_report_by_alliance_pro_inspections_.pdf,Electrical,Replace missing screws on sub electrical panel cover plate,General,Safety
102_eagle_pass_dr___residential_report_by_alliance_pro_inspections_.pdf,Electrical,Install GFCI protection at all locations near water sources,Exterior Rear and Front,Safety
102_eagle_pass_dr___residential_report_by_alliance_pro_inspections_.pdf,Electrical,Install GFCI protection in laundry room,Laundry Room,Minor
102_eagle_pass_dr___residential_report_by_alliance_pro_inspections_.pdf,Electrical,Replace smoke detectors that are 10 or more years old,Multiple,Safety
102_eagle_pass_dr___residential_report_by_alliance_pro_inspections_.pdf,Electrical,Install carbon monoxide detector,Second Floor Hall and First Floor,Safety
102_eagle_pass_dr___residential_report_by_alliance_pro_inspections_.pdf,Other,Evaluate and repair inoperable irrigation system,Exterior,Major
102_eagle_pass_dr___residential_report_by_alliance_pro_inspections_.pdf,Insulation,Install insulation at pull down attic stairs and knee wall closet doors,Attic,Minor
102_eagle_pass_dr___residential_report_by_alliance_pro_inspections_.pdf,Other,Clean dryer vent duct to remove heavy lint buildup and prevent fire hazard,Laundry/Exterior Vent,Safety
102_eagle_pass_dr___residential_report_by_alliance_pro_inspections_.pdf,Windows/Doors,Repair door latch and/or strike plate on doors that do not latch properly,Multiple and Office,Minor
102_eagle_pass_dr___residential_report_by_alliance_pro_inspections_.pdf,Windows/Doors,Adjust door hinges on doors that will not stay open,Bedroom and Office,Minor
102_eagle_pass_dr___residential_report_by_alliance_pro_inspections_.pdf,Windows/Doors,Repair broken window balances so windows stay open,Master Bedroom,Minor
102_eagle_pass_dr___residential_report_by_alliance_pro_inspections_.pdf,Windows/Doors,Repair or replace damaged exterior window screens,Multiple,Cosmetic
102_eagle_pass_dr___residential_report_by_alliance_pro_inspections_.pdf,Interior,Steam clean stained and discolored carpet,Multiple,Cosmetic
102_eagle_pass_dr___residential_report_by_alliance_pro_inspections_.pdf,Interior,Evaluate source of previous water stain on ceiling and repaint with proper preparation,Multiple,Major
102_eagle_pass_dr___residential_report_by_alliance_pro_inspections_.pdf,Interior,Patch nail pops in drywall and repaint,Multiple,Cosmetic
102_eagle_pass_dr___residential_report_by_alliance_pro_inspections_.pdf,Interior,Repair damaged cabinets,General,Minor
102_eagle_pass_dr___residential_report_by_alliance_pro_inspections_.pdf,Appliances,Clean algae buildup from dishwasher,Kitchen,Minor
102_eagle_pass_dr___residential_report_by_alliance_pro_inspections_.pdf,Appliances,Install missing anti-tip device on range/stove for child safety,Kitchen,Safety
102_gandy_inspection_version_1.pdf,Windows/Doors,Replace weather stripping around front door,Front Entry,Minor
102_gandy_inspection_version_1.pdf,Windows/Doors,Repair loose metal security door,Front Entry,Minor
102_gandy_inspection_version_1.pdf,Exterior,Repair or replace rusted and deteriorated metal railing at bottom,Front Porch,Major
102_gandy_inspection_version_1.pdf,Exterior,"Remove vines that have penetrated vinyl siding at front, back, and left side",Exterior,Major
102_gandy_inspection_version_1.pdf,Exterior,Repair loose exterior siding at right side gable,Right Side Gable,Minor
102_gandy_inspection_version_1.pdf,Exterior,Seal all open holes in exterior siding where piping/wiring pass through to prevent water and pest intrusion,Exterior,Major
102_gandy_inspection_version_1.pdf,Exterior,Finish and seal ends of vinyl siding to cover exposed wood,Right Side,Minor
102_gandy_inspection_version_1.pdf,Windows/Doors,Repair disconnected sash balances on left front window top and bottom sashes and back left window bottom sash,Living Room and Back Right Bedroom,Minor
102_gandy_inspection_version_1.pdf,Exterior,Repair incomplete aluminum cladding around front center window where wood is exposed,Front Exterior,Minor
102_gandy_inspection_version_1.pdf,Exterior,Repair deteriorated aluminum cladding around back windows,Back Exterior,Minor
102_gandy_inspection_version_1.pdf,Exterior,Seal open hole in trim above back windows to prevent pest intrusion,Back Exterior,Major
102_gandy_inspection_version_1.pdf,Exterior,Repair damaged concrete driveway surface,Driveway,Minor
102_gandy_inspection_version_1.pdf,Exterior,Repair eroded ground under back left edge of driveway to prevent concrete breakage,Driveway,Minor
102_gandy_inspection_version_1.pdf,Windows/Doors,Repair back door to outside storage room so it closes and latches properly,Back Exterior,Minor
102_gandy_inspection_version_1.pdf,Windows/Doors,"Repair side door strike on jamb, install weather stripping, repair deteriorated door frame bottom, and install proper exterior door threshold",Side Exterior,Major
102_gandy_inspection_version_1.pdf,Exterior,Trim all bushes and shrubs in contact with exterior siding,Exterior,Minor
102_gandy_inspection_version_1.pdf,Exterior,Remove all vines from exterior of home,Exterior,Minor
102_gandy_inspection_version_1.pdf,Exterior,Trim tree limbs in contact with or hanging near roof and exterior,Exterior,Minor
102_gandy_inspection_version_1.pdf,Exterior,Regrade low spots around foundation wall to achieve proper drainage slope,Foundation Perimeter,Major
102_gandy_inspection_version_1.pdf,Roofing,Repair loose and missing bricks at top of left chimney,Left Chimney,Major
102_gandy_inspection_version_1.pdf,Roofing,Evaluate and repair separating bricks at bottom of left chimney visible in crawlspace,Left Chimney,Major
102_gandy_inspection_version_1.pdf,Roofing,Properly enclose and flash make-shift valley where two gables meet to prevent water and pest intrusion,Right Side Roof,Major
102_gandy_inspection_version_1.pdf,Roofing,Install missing splash blocks at bottom of downspouts and extend with piping to direct water away from foundation,Exterior,Minor
102_gandy_inspection_version_1.pdf,Roofing,Clean debris from gutters,Exterior,Minor
102_gandy_inspection_version_1.pdf,Exterior,Repair or replace torn or missing foundation vent screens,Foundation,Minor
102_gandy_inspection_version_1.pdf,Exterior,Clear debris from foundation vent wells and replace dirt with gravel,Foundation,Minor
102_gandy_inspection_version_1.pdf,Exterior,Replace missing foundation vent at left side of front porch,Front Porch Foundation,Minor
102_gandy_inspection_version_1.pdf,Exterior,Repair or replace bent front column on carport,Carport,Major
102_gandy_inspection_version_1.pdf,Electrical,Label main electrical disconnect panel properly,Left Exterior Wall,Safety
102_gandy_inspection_version_1.pdf,Electrical,Remove vines growing through main disconnect panel,Left Exterior Wall,Safety
102_gandy_inspection_version_1.pdf,Electrical,"Properly ground ungrounded 3-prong outlets, convert back to 2-prong, or label as ungrounded",General,Safety
102_gandy_inspection_version_1.pdf,Electrical,Cover all open junction boxes in crawlspace and secure or remove loose electrical wires,Crawlspace,Safety
102_gandy_inspection_version_1.pdf,Electrical,Properly fasten all electrical wires in crawlspace to underside of floor system,Crawlspace,Safety
102_gandy_inspection_version_1.pdf,Electrical,Install proper conduit to protect exposed electrical wires under carport,Carport,Safety
102_gandy_inspection_version_1.pdf,Electrical,"Install GFCI receptacles in kitchen, bathrooms, and other required locations",General,Safety
102_gandy_inspection_version_1.pdf,Electrical,Repair non-functioning doorbell and replace damaged doorbell button,Front Entry,Minor
102_gandy_inspection_version_1.pdf,Plumbing,Install hangers to properly support loose water supply lines,Crawlspace,Minor
102_gandy_inspection_version_1.pdf,Plumbing,Replace missing handle on main water shut off valve,Crawlspace,Major
102_gandy_inspection_version_1.pdf,Plumbing,Repair leaking plumbing drain line under tub,Hall Bath / Crawlspace,Major
102_gandy_inspection_version_1.pdf,Foundation/Structural,Replace damaged and loose crawlspace access door,Crawlspace,Minor
102_gandy_inspection_version_1.pdf,Foundation/Structural,Remove debris and trash from crawlspace,Crawlspace,Minor
102_gandy_inspection_version_1.pdf,Foundation/Structural,Evaluate and remediate fungal growth on floor framing in crawlspace,Crawlspace,Safety
102_gandy_inspection_version_1.pdf,Foundation/Structural,"Take steps to reduce moisture level in crawlspace including debris removal, vapor barrier repair, and ventilation improvements",Crawlspace,Major
102_gandy_inspection_version_1.pdf,Foundation/Structural,Evaluate and repair missing section of front foundation wall where dirt is spilling into crawlspace,Front Foundation,Major
102_gandy_inspection_version_1.pdf,Foundation/Structural,Evaluate and repair or replace deteriorated floor decking under bathtub,Hall Bath,Major
102_gandy_inspection_version_1.pdf,Foundation/Structural,Evaluate and repair unconventional roof framing at make-shift valley where two gables meet,Right Side Roof,Major
102_gandy_inspection_version_1.pdf,HVAC,Extend and seal missing tubular insulation on suction line to heating unit,Crawlspace,Minor
102_gandy_inspection_version_1.pdf,HVAC,Clear clogged condensation drain line on heating unit,Crawlspace,Major
102_gandy_inspection_version_1.pdf,HVAC,Insulate drain line from heating unit to prevent sweating,Crawlspace,Minor
102_gandy_inspection_version_1.pdf,HVAC,Secure loose thermostat to wall,General,Minor
102_gandy_inspection_version_1.pdf,HVAC,Repair damaged tubular insulation on suction line at condensing unit,Exterior,Minor
102_gandy_inspection_version_1.pdf,HVAC,Replace dirty air filter in return register,General,Minor
102_gandy_inspection_version_1.pdf,Plumbing,Replace missing pop-up drain assembly for tub,Hall Bath,Minor
102_gandy_inspection_version_1.pdf,Plumbing,Properly secure toilet tank to bowl,Hall Bath,Minor
102_gandy_inspection_version_1.pdf,Plumbing,Clear slow-draining bathroom sink drain line,Hall Bath,Minor
102_gandy_inspection_version_1.pdf,Interior,Repair spongy floor at tub area,Hall Bath,Major
102_gandy_inspection_version_1.pdf,Interior,Secure bathroom counter to cabinet,Hall Bath,Minor
102_gandy_inspection_version_1.pdf,Fireplace,Evaluate suitability of epoxy used to secure loose bricks inside firebox and repair if needed,Living Room Fireplace,Safety
102_gandy_inspection_version_1.pdf,Fireplace,Evaluate and repair gap between firebox and brick fireplace surround,Living Room Fireplace,Minor
102_gandy_inspection_version_1.pdf,Insulation,Remove damaged vapor barrier and replace with new 6 mil plastic to achieve 100% coverage,Crawlspace,Major
103 Upper Ridge Inspection Summary .pdf,Exterior,Repair and/or replace wood decay/rot on porch/patio and repaint to prevent further damage,Porch/Patio,Major
103 Upper Ridge Inspection Summary .pdf,Exterior,Professional stucco evaluation and repair of cracks and prior repair areas,Exterior,Major
103 Upper Ridge Inspection Summary .pdf,Exterior,Repair or replace water-damaged wood on overhangs and fascia,Exterior Front and Rear,Major
103 Upper Ridge Inspection Summary .pdf,Windows/Doors,"Seal, repair, or replace damaged door trim to prevent moisture intrusion",Exterior Upstairs Patio Door,Minor
103 Upper Ridge Inspection Summary .pdf,Exterior,Install railings on deck stairs where drop exceeds 30 inches,Deck Stairs,Safety
103 Upper Ridge Inspection Summary .pdf,Plumbing,Replace leaking exterior spigot assembly,Exterior Front,Minor
103 Upper Ridge Inspection Summary .pdf,Roofing,Repair or replace missing shingles,Exterior Rear,Major
103 Upper Ridge Inspection Summary .pdf,Roofing,Seal lifted flashing boot flanges to roof surface to prevent water infiltration,Roof,Major
103 Upper Ridge Inspection Summary .pdf,Other,Perform Level II chimney inspection prior to close,Chimney,Safety
103 Upper Ridge Inspection Summary .pdf,Plumbing,Repair hot water supply to kitchen sink,Main Kitchen Sink,Major
103 Upper Ridge Inspection Summary .pdf,Windows/Doors,Replace broken window glass,Basement Rear Right Bedroom,Safety
103 Upper Ridge Inspection Summary .pdf,Windows/Doors,Repair inoperable windows that are stuck or painted shut for emergency egress,Master Bedroom,Safety
103 Upper Ridge Inspection Summary .pdf,Windows/Doors,Replace missing window crank handles and confirm proper operation,Master Bedroom,Minor
103 Upper Ridge Inspection Summary .pdf,Other,Perform Level II chimney inspection prior to close,Fireplace,Safety
103 Upper Ridge Inspection Summary .pdf,Other,Confirm proper operation of gas fireplace pilot lights and logs prior to close,Both Fireplaces,Safety
103 Upper Ridge Inspection Summary .pdf,Plumbing,Repair sink stopper that does not seal,Basement Rear Right Bathroom,Minor
103 Upper Ridge Inspection Summary .pdf,Interior,Repair or replace caulking and grout in shower to prevent moisture damage,Basement Rear Left Bathroom,Major
103 Upper Ridge Inspection Summary .pdf,Plumbing,Secure loose shower water supply pipe at wall,Basement Rear Right Bathroom,Minor
103 Upper Ridge Inspection Summary .pdf,Plumbing,Repair shower diverter not engaging fully to restore proper water pressure,Basement Front Right Bathroom,Minor
103 Upper Ridge Inspection Summary .pdf,Electrical,Repair or replace non-functional bathroom exhaust fan,Master Bathroom Toilet Area,Minor
103 Upper Ridge Inspection Summary .pdf,Other,Clean lint buildup from dryer vent duct,Laundry Area,Safety
103 Upper Ridge Inspection Summary .pdf,HVAC,"Clean, service, and certify aging exterior AC unit",Exterior,Major
103 Upper Ridge Inspection Summary .pdf,HVAC,"Clean, service, and certify aging interior HVAC unit prior to closing",Interior,Major
103 Upper Ridge Inspection Summary .pdf,Electrical,Install proper protective bushings for wiring entering the main service panel,Main Service Panel,Safety
103 Upper Ridge Inspection Summary .pdf,Electrical,Install conduit to protect exposed exterior wiring from physical damage,Exterior Front and Rear,Safety
103_indian_trail_full_inspection.pdf,Exterior,"Seal gaps at pipes, gas lines, wires, and exhaust vents with caulking or moisture resistant material",Exterior,Minor
103_indian_trail_full_inspection.pdf,Exterior,Repair loose mortar joints on front porch steps,Front Porch Steps,Minor
103_indian_trail_full_inspection.pdf,Exterior,Repair or replace missing/damaged brick on porch steps,Front Porch Steps,Minor
103_indian_trail_full_inspection.pdf,Exterior,Repair cracks in asphalt driveway,Driveway,Minor
103_indian_trail_full_inspection.pdf,Exterior,Install splash blocks or downspout extensions to divert water away from foundation,Exterior,Minor
103_indian_trail_full_inspection.pdf,Plumbing,Repair improperly installed drain line to allow for proper drainage,Crawlspace,Major
103_indian_trail_full_inspection.pdf,Plumbing,Extend vent pipe above roof line - currently venting below soffit creating safety hazard,Exterior,Safety
103_indian_trail_full_inspection.pdf,Plumbing,Locate or install sewer/septic cleanout,Exterior,Minor
103_indian_trail_full_inspection.pdf,Plumbing,Secure loose exterior hose bibs to house to prevent damage to plumbing connections,Exterior,Minor
103_indian_trail_full_inspection.pdf,Plumbing,Insulate water supply pipes to exterior hose bibs,Exterior,Minor
103_indian_trail_full_inspection.pdf,Plumbing,Seal open knockouts in laundry room washer box,Laundry Room,Minor
103_indian_trail_full_inspection.pdf,Plumbing,Seal open knockouts in second laundry room washer box,Laundry Room,Minor
103_indian_trail_full_inspection.pdf,Plumbing,Seal passive radon vent pipe legs under vapor barrier in crawlspace,Crawlspace,Minor
103_indian_trail_full_inspection.pdf,Plumbing,Adjust water heater temperature down to 120 degrees Fahrenheit to prevent scalding,Laundry Room,Safety
103_indian_trail_full_inspection.pdf,Plumbing,Replace noisy exhaust fan to ensure proper operation and ventilation,Basement Bathroom,Minor
103_indian_trail_full_inspection.pdf,Plumbing,Adjust or repair sticking spring loaded pop-up drain assembly,Second Floor Hall Bathroom,Minor
103_indian_trail_full_inspection.pdf,Plumbing,Install access panel under sink to allow servicing of plumbing,Second Floor Hall Bathroom,Minor
103_indian_trail_full_inspection.pdf,Plumbing,Repair reversed hot and cold water connections at sink,Second Floor Hall Bathroom,Minor
103_indian_trail_full_inspection.pdf,Electrical,Repair or replace non-functioning GFCI receptacle,Front Exterior,Safety
103_indian_trail_full_inspection.pdf,Electrical,Install blank cover plates on open electrical junction boxes,Rear Exterior,Safety
103_indian_trail_full_inspection.pdf,Electrical,Replace burned out interior light bulbs and retest fixtures,Basement Bathroom,Minor
103_indian_trail_full_inspection.pdf,Interior,Evaluate and repair floor framing to address unlevel and sagging floors,General,Major
103_indian_trail_full_inspection.pdf,Windows/Doors,Repair or replace window balances to prevent windows from falling,Master Bathroom,Minor
103_indian_trail_full_inspection.pdf,Appliances,Secure loose dishwasher in place,Kitchen,Minor
103_indian_trail_full_inspection.pdf,Appliances,Repair refrigerator door seal that does not properly seal after closing,Kitchen,Minor
103_indian_trail_full_inspection.pdf,Plumbing,Secure loose kitchen sink faucet to prevent leaks and damage,Kitchen,Minor
103_indian_trail_full_inspection.pdf,Insulation,Install additional attic insulation to meet current energy standards,Attic,Minor
103_indian_trail_full_inspection.pdf,Foundation/Structural,Remove wood and debris from crawlspace ground,Crawlspace,Minor
103_indian_trail_full_inspection.pdf,Foundation/Structural,Evaluate basement floor framing - sections feel like wood framing with no access below to evaluate,Basement,Major
103_indian_trail_full_inspection.pdf,Foundation/Structural,Remediate fungal growth on framing throughout crawlspace,Crawlspace,Major
103_indian_trail_full_inspection.pdf,Foundation/Structural,"Evaluate and repair crawlspace framing including improperly installed support jacks, improperly repaired framing, 4x4 posts resting on ground, and damaged piers",Crawlspace,Major
103_indian_trail_full_inspection.pdf,Foundation/Structural,Replace wood-rotted sill and joist along rear of crawlspace,Crawlspace,Major
103_indian_trail_full_inspection.pdf,Foundation/Structural,Make necessary repairs to lower elevated moisture levels in crawlspace,Crawlspace,Major
103_indian_trail_full_inspection.pdf,Foundation/Structural,Install plastic vapor barrier on crawlspace ground to control moisture levels,Crawlspace,Major
103_indian_trail_full_inspection.pdf,Insulation,Replace moisture-damaged insulation in crawlspace,Crawlspace,Major
104_E_King_Rd___Advantage_Residential_Inspection-summary.pdf,Exterior,Seal loose mortar joints on front porch steps to prevent water penetration,Front Porch,Minor
104_E_King_Rd___Advantage_Residential_Inspection-summary.pdf,Roofing,Evaluate and repair moderate wear on roof shingles,Roof,Major
104_E_King_Rd___Advantage_Residential_Inspection-summary.pdf,Roofing,Evaluate and repair or replace discolored area of roof covering,Roof,Minor
104_E_King_Rd___Advantage_Residential_Inspection-summary.pdf,Roofing,Replace cracked rubber boots around plumbing vent pipes,Roof,Major
104_E_King_Rd___Advantage_Residential_Inspection-summary.pdf,Plumbing,Repair bathtub faucet handle to have a positive off/stop position,Master Bathroom,Minor
104_E_King_Rd___Advantage_Residential_Inspection-summary.pdf,Electrical,Properly identify white wires used as hot wires in electrical panel (e.g. wrap with black tape),Electrical Panel,Safety
104_E_King_Rd___Advantage_Residential_Inspection-summary.pdf,HVAC,Reconnect disconnected condensate drain line from furnace,Crawlspace,Major
104_E_King_Rd___Advantage_Residential_Inspection-summary.pdf,HVAC,Evaluate and repair rattling AC unit to ensure proper operation,General,Major
104_E_King_Rd___Advantage_Residential_Inspection-summary.pdf,Interior,Patch settling cracks on walls over doors and adjoining walls,Interior,Cosmetic
104_E_King_Rd___Advantage_Residential_Inspection-summary.pdf,Interior,Repair gaps and improperly installed flooring,Interior,Minor
104_E_King_Rd___Advantage_Residential_Inspection-summary.pdf,Windows/Doors,Adjust or trim interior door that drags against flooring,Hall Bathroom,Minor
104_E_King_Rd___Advantage_Residential_Inspection-summary.pdf,Appliances,Repair broken dishwasher door spring,Kitchen,Minor
104_E_King_Rd___Advantage_Residential_Inspection-summary.pdf,Electrical,Place exposed Romex wiring under kitchen sink into conduit,Kitchen,Safety
104_E_King_Rd___Advantage_Residential_Inspection-summary.pdf,Interior,Repair or replace damaged attic pull-down stairs that do not close properly,Attic,Minor
104_E_King_Rd___Advantage_Residential_Inspection-summary.pdf,Foundation/Structural,Make necessary repairs to lower elevated moisture levels above 20% in crawlspace,Crawlspace,Major
104_E_King_Rd___Advantage_Residential_Inspection-summary.pdf,Foundation/Structural,"Evaluate and remediate standing water in crawlspace, consider French drain and sump pump",Crawlspace,Major
104_E_King_Rd___Advantage_Sewer_Inspection.pdf,Plumbing,Clear obstruction in main sewer line to allow proper drainage and prevent clogging,Main Sewer Line,Major
104_E_King_Rd___Advantage_Sewer_Inspection.pdf,Plumbing,Repair loose cleanout pipe that is not glued below the lid and spins when removing cap,Exterior Cleanout,Minor
104_E_King_Rd___Advantage_Sewer_Inspection.pdf,Plumbing,Pump and inspect septic tank,Septic System,Minor
104_edwards_st___whole_home_inspection.pdf,Exterior,"Repair trip hazards in walkway (cracking, heaving, settlement)",Front of Home,Safety
104_edwards_st___whole_home_inspection.pdf,Exterior,Re-secure loose and displaced pavers,Front of Home,Safety
104_edwards_st___whole_home_inspection.pdf,Exterior,Repair or replace settled concrete slab at stoop/steps,Front of Home,Major
104_edwards_st___whole_home_inspection.pdf,Exterior,Repair heavily weathered porch components,Front of Home,Major
104_edwards_st___whole_home_inspection.pdf,Exterior,Replace damaged weatherstripping on exterior door,Front of Home,Minor
104_edwards_st___whole_home_inspection.pdf,Exterior,Repair or replace damaged door jamb,Left Side of Home,Major
104_edwards_st___whole_home_inspection.pdf,Exterior,Repair step height exceeding 7 3/4 inches (trip hazard),Left Side of Home,Safety
104_edwards_st___whole_home_inspection.pdf,Exterior,"Repair or replace damaged vinyl siding (holes, cracks)",Left Side of Home,Major
104_edwards_st___whole_home_inspection.pdf,Exterior,Correct vinyl siding to grade clearance,Rear of Home,Minor
104_edwards_st___whole_home_inspection.pdf,Exterior,Seal opening in soffit/overhang to prevent wildlife and insect entry,Throughout Home,Major
104_edwards_st___whole_home_inspection.pdf,Exterior,Repair or replace damaged door trim and seal against moisture,Left Side of Home,Minor
104_edwards_st___whole_home_inspection.pdf,Exterior,"Caulk all exterior components (windows, doors, masonry ledges, corners, utility penetrations)",General,Minor
104_edwards_st___whole_home_inspection.pdf,Exterior,Correct negative grade sloping toward foundation,Rear of Home,Major
104_edwards_st___whole_home_inspection.pdf,Exterior,Fill low areas along foundation wall to achieve proper slope away from foundation,Throughout Home,Major
104_edwards_st___whole_home_inspection.pdf,Plumbing,Repair leaking exterior spigot valve stem,Right Side of Home,Minor
104_edwards_st___whole_home_inspection.pdf,Roofing,Treat Gloeocapsa Magma (black algae) staining on roof,Roof,Minor
104_edwards_st___whole_home_inspection.pdf,Roofing,"Remove leaf cover, tree limbs, and organic debris from roof surface",Roof,Minor
104_edwards_st___whole_home_inspection.pdf,Roofing,Repair areas of heavy sealant where proper flashing should be present,Roof,Major
104_edwards_st___whole_home_inspection.pdf,Roofing,Paint PVC plumbing vent pipes to protect from UV deterioration,Roof,Minor
104_edwards_st___whole_home_inspection.pdf,Roofing,Seal exposed nail heads on roof boots,Roof,Minor
104_edwards_st___whole_home_inspection.pdf,Roofing,Replace cracked or damaged flashing boots,Roof,Major
104_edwards_st___whole_home_inspection.pdf,Roofing,Replace rusted flue vent,Roof,Major
104_edwards_st___whole_home_inspection.pdf,Roofing,Install chimney cap,Roof,Major
104_edwards_st___whole_home_inspection.pdf,Roofing,Repair or replace improperly installed chimney flashing,Roof,Major
104_edwards_st___whole_home_inspection.pdf,Roofing,Tuck point cracked and missing mortar joints on chimney,Roof,Major
104_edwards_st___whole_home_inspection.pdf,Roofing,Install gutters and downspouts,General,Minor
104_edwards_st___whole_home_inspection.pdf,Foundation/Structural,Repair or replace damaged roof/ceiling structure support in attic,Attic,Major
104_edwards_st___whole_home_inspection.pdf,Insulation,Repair or extend vapor barrier to achieve full coverage of crawlspace soil,Crawlspace,Minor
104_edwards_st___whole_home_inspection.pdf,Foundation/Structural,Evaluate and repair source of moisture infiltration in crawlspace,Crawlspace,Major
104_edwards_st___whole_home_inspection.pdf,Foundation/Structural,Evaluate and remediate fungal growth on floor structure in crawlspace,Crawlspace,Major
104_edwards_st___whole_home_inspection.pdf,Foundation/Structural,Repair ventilation openings at or below grade to prevent water infiltration,Both Sides Rear of Home,Major
104_edwards_st___whole_home_inspection.pdf,Foundation/Structural,"Full floor structure evaluation and repair (unsupported joists, leaning piers, unconventional supports, missing insulation)",Crawlspace,Major
104_edwards_st___whole_home_inspection.pdf,Kitchen,Apply caulking around countertops where gapped or missing,Kitchen,Minor
104_edwards_st___whole_home_inspection.pdf,Plumbing,Correct improper drain pipe slope at kitchen undersink plumbing,Kitchen,Minor
104_edwards_st___whole_home_inspection.pdf,Other,Repair or replace non-functional doorbell,General,Minor
104_edwards_st___whole_home_inspection.pdf,Interior,Evaluate and repair patched/repaired areas on ceiling (consult seller for history),Kitchen,Minor
104_edwards_st___whole_home_inspection.pdf,Interior,Repair or replace sagging ceiling likely associated with moisture damage,Kitchen,Major
104_edwards_st___whole_home_inspection.pdf,Interior,Finish unfinished walls,Laundry Room,Minor
104_edwards_st___whole_home_inspection.pdf,Interior,Repair or replace damaged and delaminating paneling,Dining Room,Cosmetic
104_edwards_st___whole_home_inspection.pdf,Interior,Replace missing trim,Hallway Bathroom,Cosmetic
104_edwards_st___whole_home_inspection.pdf,Interior,Re-secure loose trim at attic access,Attic Access,Cosmetic
104_edwards_st___whole_home_inspection.pdf,Interior,Evaluate and remediate fungal growth on walls,Hallway Bathroom,Major
104_edwards_st___whole_home_inspection.pdf,Interior,"Repair tile grout deficiencies (loose, damaged, or missing grout)",Rear Hallway,Minor
104_edwards_st___whole_home_inspection.pdf,Interior,Repair soft area in floor (possible subfloor damage),Dining Room and Rear Left Bedroom,Major
104_edwards_st___whole_home_inspection.pdf,Interior,Evaluate and repair high spot on floor,Living Room and Front Left Room,Minor
104_edwards_st___whole_home_inspection.pdf,Interior,Repair damaged hardwood flooring,Throughout Home,Cosmetic
104_edwards_st___whole_home_inspection.pdf,Interior,Replace missing floor tile,Hallway Bathroom,Minor
104_edwards_st___whole_home_inspection.pdf,Windows/Doors,Adjust binding interior door for proper operation,Hallway Bathroom,Minor
104_edwards_st___whole_home_inspection.pdf,Windows/Doors,Realign misaligned bi-fold door,Laundry,Minor
104_edwards_st___whole_home_inspection.pdf,Plumbing,Apply caulking around bathroom countertops where gapped or missing,Master Bathroom,Minor
